read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
read201,699,1,1,108,108,108,108,108,0,1.0,mapped_high
read202,700,1,1,108,108,108,108,108,0,1.0,mapped_high
read203,701,1,1,108,108,108,108,108,0,1.0,mapped_high
read204,702,1,1,108,108,108,108,108,0,1.0,mapped_high
read205,703,1,1,108,108,108,108,108,0,1.0,mapped_high
read206,704,1,1,108,108,108,108,108,0,1.0,mapped_high
read207,705,1,1,108,108,108,108,108,0,1.0,mapped_high
read208,706,1,1,108,108,108,108,108,0,1.0,mapped_high
read209,707,1,1,108,108,108,108,108,0,1.0,mapped_high
read210,708,1,1,108,108,108,108,108,0,1.0,mapped_high
read211,709,1,1,108,108,108,108,108,0,1.0,mapped_high
read212,710,1,1,108,108,108,108,108,0,1.0,mapped_high
read213,711,1,1,108,108,108,108,108,0,1.0,mapped_high
read214,712,1,1,108,108,108,108,108,0,1.0,mapped_high
read215,713,1,1,108,108,108,108,108,0,1.0,mapped_high
read216,714,1,1,108,108,108,108,108,0,1.0,mapped_high
read217,715,1,1,108,108,108,108,108,0,1.0,mapped_high
read218,716,1,1,108,108,108,108,108,0,1.0,mapped_high
read219,717,1,1,108,108,108,108,108,0,1.0,mapped_high
read220,718,1,1,108,108,108,108,108,0,1.0,mapped_high
read221,719,1,1,108,108,108,108,108,0,1.0,mapped_high
read222,720,1,1,108,108,108,108,108,0,1.0,mapped_high
read223,721,1,1,108,108,108,108,108,0,1.0,mapped_high
read224,722,1,1,108,108,108,108,108,0,1.0,mapped_high
read225,723,1,1,108,108,108,108,108,0,1.0,mapped_high
read226,724,1,1,108,108,108,108,108,0,1.0,mapped_high
read227,725,1,1,108,108,108,108,108,0,1.0,mapped_high
read228,726,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read229,727,1,1,108,108,108,108,108,0,1.0,mapped_high
read230,728,1,1,108,108,108,108,108,0,1.0,mapped_high
read231,729,1,1,108,108,108,108,108,0,1.0,mapped_high
read232,730,1,1,108,108,108,108,108,0,1.0,mapped_high
read233,731,1,1,108,108,108,108,108,0,1.0,mapped_high
read234,732,1,1,108,108,108,108,108,0,1.0,mapped_high
read235,733,1,1,108,108,108,108,108,0,1.0,mapped_high
read236,734,1,1,108,108,108,108,108,0,1.0,mapped_high
read237,735,1,1,108,108,108,108,108,0,1.0,mapped_high
read238,736,1,1,108,108,108,108,108,0,1.0,mapped_high
read239,737,1,1,108,108,108,108,108,0,1.0,mapped_high
read240,738,1,1,108,108,108,108,108,0,1.0,mapped_high
read241,739,1,1,108,108,108,108,108,0,1.0,mapped_high
read242,740,1,1,108,108,108,108,108,0,1.0,mapped_high
read243,741,1,1,108,108,108,108,108,0,1.0,mapped_high
read244,742,1,1,108,108,108,108,108,0,1.0,mapped_high
read245,743,1,1,108,108,108,108,108,0,1.0,mapped_high
read246,744,1,1,108,108,108,108,108,0,1.0,mapped_high
read247,745,1,1,108,108,108,108,108,0,1.0,mapped_high
read248,746,1,1,108,108,108,108,108,0,1.0,mapped_high
read249,747,1,1,108,108,108,108,108,0,1.0,mapped_high
read250,748,1,1,108,108,108,108,108,0,1.0,mapped_high
read251,749,1,1,108,108,108,108,108,0,1.0,mapped_high
read252,750,1,1,108,108,108,108,108,0,1.0,mapped_high
read253,751,1,1,108,108,108,108,108,0,1.0,mapped_high
read254,752,1,1,108,108,108,108,108,0,1.0,mapped_high
read255,753,1,1,108,108,108,108,108,0,1.0,mapped_high
read256,754,1,1,108,108,108,108,108,0,1.0,mapped_high
read257,755,1,1,108,108,108,108,108,2,0.9814814814814815,mapped_high
read258,756,1,1,108,108,108,108,108,0,1.0,mapped_high
read259,757,1,1,108,108,108,108,108,0,1.0,mapped_high
read260,1000,1,1,108,108,108,108,108,0,1.0,mapped_high
read261,118,1,1,108,108,108,108,108,0,1.0,mapped_high
read262,850,1,1,108,108,108,108,108,0,1.0,mapped_high
read263,1,1,1,108,108,108,108,108,0,1.0,mapped_high
read264,2,1,1,108,108,108,108,108,0,1.0,mapped_high
read265,3,1,1,108,108,108,108,108,0,1.0,mapped_high
read266,4,1,1,108,108,108,108,108,0,1.0,mapped_high
read267,5,1,1,108,108,108,108,108,0,1.0,mapped_high
read268,6,1,1,108,108,108,108,108,0,1.0,mapped_high
read269,7,1,1,108,108,108,108,108,0,1.0,mapped_high
read270,8,1,1,108,108,108,108,108,0,1.0,mapped_high
read271,9,1,1,108,108,108,108,108,0,1.0,mapped_high
read272,10,1,1,108,108,108,108,108,0,1.0,mapped_high
read273,11,1,1,108,108,108,108,108,0,1.0,mapped_high
read274,12,1,1,108,108,108,108,108,0,1.0,mapped_high
read275,13,1,1,108,108,108,108,108,0,1.0,mapped_high
read276,14,1,1,108,108,108,108,108,0,1.0,mapped_high
read277,15,1,1,108,108,108,108,108,0,1.0,mapped_high
read278,16,1,1,108,108,108,108,108,0,1.0,mapped_high
read279,17,1,1,108,108,108,108,108,0,1.0,mapped_high
read280,18,1,1,108,108,108,108,108,0,1.0,mapped_high
read281,19,1,1,108,108,108,108,108,0,1.0,mapped_high
read282,20,1,1,108,108,108,108,108,0,1.0,mapped_high
read283,21,1,1,108,108,108,108,108,0,1.0,mapped_high
read284,22,1,1,108,108,108,108,108,0,1.0,mapped_high
read285,23,1,1,108,108,108,108,108,0,1.0,mapped_high
read286,24,1,1,108,108,108,108,108,0,1.0,mapped_high
read287,25,1,1,108,108,108,108,108,0,1.0,mapped_high
read288,26,1,1,108,108,108,108,108,0,1.0,mapped_high
read289,27,1,1,108,108,108,108,108,0,1.0,mapped_high
read290,28,1,1,108,108,108,108,108,0,1.0,mapped_high
read291,29,1,1,108,108,108,108,108,0,1.0,mapped_high
read292,30,1,1,108,108,108,108,108,0,1.0,mapped_high
read293,31,1,1,108,108,108,108,108,0,1.0,mapped_high
read294,32,1,1,108,108,108,108,108,0,1.0,mapped_high
read295,33,1,1,108,108,108,108,108,0,1.0,mapped_high
read296,34,1,1,108,108,108,108,108,0,1.0,mapped_high
read297,35,1,1,108,108,108,108,108,0,1.0,mapped_high
read298,36,1,1,108,108,108,108,108,0,1.0,mapped_high
read299,37,1,1,108,108,108,108,108,0,1.0,mapped_high
read300,38,1,1,108,108,108,108,108,0,1.0,mapped_high
read301,39,1,1,108,108,108,108,108,0,1.0,mapped_high
read302,40,1,1,108,108,108,108,108,0,1.0,mapped_high
read303,41,1,1,108,108,108,108,108,0,1.0,mapped_high
read304,42,1,1,108,108,108,108,108,0,1.0,mapped_high
read305,43,1,1,108,108,108,108,108,0,1.0,mapped_high
read306,44,1,1,108,108,108,108,108,0,1.0,mapped_high
read307,45,1,1,108,108,108,108,108,0,1.0,mapped_high
read308,46,1,1,108,108,108,108,108,0,1.0,mapped_high
read309,47,1,1,108,108,108,108,108,0,1.0,mapped_high
read310,48,1,1,108,108,108,108,108,0,1.0,mapped_high
read311,49,1,1,108,108,108,108,108,0,1.0,mapped_high
read312,50,1,1,108,108,108,108,108,0,1.0,mapped_high
read313,51,1,1,108,108,108,108,108,0,1.0,mapped_high
read314,52,1,1,108,108,108,108,108,0,1.0,mapped_high
read315,53,1,1,108,108,108,108,108,0,1.0,mapped_high
read316,54,1,1,108,108,108,108,108,0,1.0,mapped_high
read317,55,1,1,108,108,108,108,108,0,1.0,mapped_high
read318,56,1,1,108,108,108,108,108,0,1.0,mapped_high
read319,57,1,1,108,108,108,108,108,0,1.0,mapped_high
read320,58,1,1,108,108,108,108,108,0,1.0,mapped_high
read321,59,1,1,108,108,108,108,108,0,1.0,mapped_high
read322,60,1,1,108,108,108,108,108,0,1.0,mapped_high
read323,61,1,1,108,108,108,108,108,0,1.0,mapped_high
read324,62,1,1,108,108,108,108,108,0,1.0,mapped_high
read325,63,1,1,108,108,108,108,108,0,1.0,mapped_high
read326,64,1,1,108,108,108,108,108,0,1.0,mapped_high
read327,65,1,1,108,108,108,108,108,0,1.0,mapped_high
read328,66,1,1,108,108,108,108,108,0,1.0,mapped_high
read329,67,1,1,108,108,108,108,108,0,1.0,mapped_high
read330,68,1,1,108,108,108,108,108,0,1.0,mapped_high
read331,69,1,1,108,108,108,108,108,0,1.0,mapped_high
read332,70,1,1,108,108,108,108,108,0,1.0,mapped_high
read333,71,1,1,108,108,108,108,108,0,1.0,mapped_high
read334,72,1,1,108,108,108,108,108,0,1.0,mapped_high
read335,73,1,1,108,108,108,108,108,0,1.0,mapped_high
read336,74,1,1,108,108,108,108,108,0,1.0,mapped_high
read337,75,1,1,108,108,108,108,108,0,1.0,mapped_high
read338,76,1,1,108,108,108,108,108,0,1.0,mapped_high
read339,77,1,1,108,108,108,108,108,0,1.0,mapped_high
read340,78,1,1,108,108,108,108,108,0,1.0,mapped_high
read341,79,1,1,108,108,108,108,108,0,1.0,mapped_high
read342,80,1,1,108,108,108,108,108,0,1.0,mapped_high
read343,81,1,1,108,108,108,108,108,0,1.0,mapped_high
read344,82,1,1,108,108,108,108,108,0,1.0,mapped_high
read345,83,1,1,108,108,108,108,108,0,1.0,mapped_high
read346,84,1,1,108,108,108,108,108,0,1.0,mapped_high
read347,85,1,1,108,108,108,108,108,0,1.0,mapped_high
read348,86,1,1,108,108,108,108,108,0,1.0,mapped_high
read349,87,1,1,108,108,108,108,108,0,1.0,mapped_high
read350,88,1,1,108,108,108,108,108,0,1.0,mapped_high
read351,89,1,1,108,108,108,108,108,0,1.0,mapped_high
read352,90,1,1,108,108,108,108,108,0,1.0,mapped_high
read353,91,1,1,108,108,108,108,108,0,1.0,mapped_high
read354,92,1,1,108,108,108,108,108,0,1.0,mapped_high
read355,93,1,1,108,108,108,108,108,0,1.0,mapped_high
read356,94,1,1,108,108,108,108,108,0,1.0,mapped_high
read357,95,1,1,108,108,108,108,108,0,1.0,mapped_high
read358,96,1,1,108,108,108,108,108,0,1.0,mapped_high
read359,97,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read360,98,1,1,108,108,108,108,108,0,1.0,mapped_high
read361,99,1,1,108,108,108,108,108,0,1.0,mapped_high
read362,100,1,1,108,108,108,108,108,0,1.0,mapped_high
read363,101,1,1,108,108,108,108,108,0,1.0,mapped_high
read364,102,1,1,108,108,108,108,108,0,1.0,mapped_high
read365,103,1,1,108,108,108,108,108,0,1.0,mapped_high
read366,104,1,1,108,108,108,108,108,0,1.0,mapped_high
read367,105,1,1,108,108,108,108,108,0,1.0,mapped_high
read368,106,1,1,108,108,108,108,108,0,1.0,mapped_high
read369,107,1,1,108,108,108,108,108,0,1.0,mapped_high
read370,108,1,1,108,108,108,108,108,0,1.0,mapped_high
read371,109,1,1,108,108,108,108,108,0,1.0,mapped_high
read372,110,1,1,108,108,108,108,108,0,1.0,mapped_high
read373,111,1,1,108,108,108,108,108,0,1.0,mapped_high
read374,112,1,1,108,108,108,108,108,0,1.0,mapped_high
read375,113,1,1,108,108,108,108,108,0,1.0,mapped_high
read376,114,1,1,108,108,108,108,108,0,1.0,mapped_high
read377,115,1,1,108,108,108,108,108,0,1.0,mapped_high
read378,116,1,1,108,108,108,108,108,0,1.0,mapped_high
read379,117,1,1,108,108,108,108,108,0,1.0,mapped_high
read380,119,1,1,108,108,108,108,108,0,1.0,mapped_high
read381,120,1,1,108,108,108,108,108,0,1.0,mapped_high
read382,121,1,1,108,108,108,108,108,0,1.0,mapped_high
read383,122,1,1,108,108,108,108,108,0,1.0,mapped_high
read384,123,1,1,108,108,108,108,108,0,1.0,mapped_high
read385,124,1,1,108,108,108,108,108,0,1.0,mapped_high
read386,125,1,1,108,108,108,108,108,0,1.0,mapped_high
read387,126,1,1,108,108,108,108,108,0,1.0,mapped_high
read388,127,1,1,108,108,108,108,108,0,1.0,mapped_high
read389,128,1,1,108,108,108,108,108,0,1.0,mapped_high
read390,129,1,1,108,108,108,108,108,0,1.0,mapped_high
read391,130,1,1,108,108,108,108,108,0,1.0,mapped_high
read392,131,1,1,108,108,108,108,108,0,1.0,mapped_high
read393,132,1,1,108,108,108,108,108,0,1.0,mapped_high
read394,133,1,1,108,108,108,108,108,0,1.0,mapped_high
read395,134,1,1,108,108,108,108,108,0,1.0,mapped_high
read396,135,1,1,108,108,108,108,108,0,1.0,mapped_high
read397,136,1,1,108,108,108,108,108,0,1.0,mapped_high
read398,137,1,1,108,108,108,108,108,0,1.0,mapped_high
read399,138,1,1,108,108,108,108,108,0,1.0,mapped_high
read400,139,1,1,108,108,108,108,108,0,1.0,mapped_high
read401,140,1,1,108,108,108,108,108,0,1.0,mapped_high
read402,141,1,1,108,108,108,108,108,0,1.0,mapped_high
read403,142,1,1,108,108,108,108,108,0,1.0,mapped_high
read404,143,1,1,108,108,108,108,108,0,1.0,mapped_high
read405,144,1,1,108,108,108,108,108,0,1.0,mapped_high
read406,145,1,1,108,108,108,108,108,0,1.0,mapped_high
read407,146,1,1,108,108,108,108,108,0,1.0,mapped_high
read408,147,1,1,108,108,108,108,108,0,1.0,mapped_high
read409,148,1,1,108,108,108,108,108,0,1.0,mapped_high
read410,149,1,1,108,108,108,108,108,0,1.0,mapped_high
read411,150,1,1,108,108,108,108,108,0,1.0,mapped_high
read412,151,1,1,108,108,108,108,108,0,1.0,mapped_high
read413,152,1,1,108,108,108,108,108,0,1.0,mapped_high
read414,153,1,1,108,108,108,108,108,0,1.0,mapped_high
read415,154,1,1,108,108,108,108,108,0,1.0,mapped_high
read416,155,1,1,108,108,108,108,108,0,1.0,mapped_high
read417,156,1,1,108,108,108,108,108,0,1.0,mapped_high
read418,157,1,1,108,108,108,108,108,0,1.0,mapped_high
read419,158,1,1,108,108,108,108,108,0,1.0,mapped_high
read420,159,1,1,108,108,108,108,108,0,1.0,mapped_high
read421,160,1,1,108,108,108,108,108,0,1.0,mapped_high
read422,161,1,1,108,108,108,108,108,0,1.0,mapped_high
read423,162,1,1,108,108,108,108,108,0,1.0,mapped_high
read424,163,1,1,108,108,108,108,108,0,1.0,mapped_high
read425,164,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read426,165,1,1,108,108,108,108,108,0,1.0,mapped_high
read427,166,1,1,108,108,108,108,108,0,1.0,mapped_high
read428,167,1,1,108,108,108,108,108,0,1.0,mapped_high
read429,168,1,1,108,108,108,108,108,0,1.0,mapped_high
read430,169,1,1,108,108,108,108,108,0,1.0,mapped_high
read431,170,1,1,108,108,108,108,108,0,1.0,mapped_high
read432,171,1,1,108,108,108,108,108,0,1.0,mapped_high
read433,172,1,1,108,108,108,108,108,0,1.0,mapped_high
read434,173,1,1,108,108,108,108,108,0,1.0,mapped_high
read435,174,1,1,108,108,108,108,108,0,1.0,mapped_high
read436,175,1,1,108,108,108,108,108,0,1.0,mapped_high
read437,176,1,1,108,108,108,108,108,0,1.0,mapped_high
read438,177,1,1,108,108,108,108,108,0,1.0,mapped_high
read439,178,1,1,108,108,108,108,108,0,1.0,mapped_high
read440,179,1,1,108,108,108,108,108,0,1.0,mapped_high
read441,180,1,1,108,108,108,108,108,0,1.0,mapped_high
read442,181,1,1,108,108,108,108,108,0,1.0,mapped_high
read443,182,1,1,108,108,108,108,108,0,1.0,mapped_high
read444,183,1,1,108,108,108,108,108,0,1.0,mapped_high
read445,184,1,1,108,108,108,108,108,0,1.0,mapped_high
read446,185,1,1,108,108,108,108,108,0,1.0,mapped_high
read447,186,1,1,108,108,108,108,108,0,1.0,mapped_high
read448,187,1,1,108,108,108,108,108,0,1.0,mapped_high
read449,188,1,1,108,108,108,108,108,0,1.0,mapped_high
read450,189,1,1,108,108,108,108,108,0,1.0,mapped_high
read451,190,1,1,108,108,108,108,108,0,1.0,mapped_high
read452,191,1,1,108,108,108,108,108,0,1.0,mapped_high
read453,192,1,1,108,108,108,108,108,0,1.0,mapped_high
read454,193,1,1,108,108,108,108,108,0,1.0,mapped_high
read455,194,1,1,108,108,108,108,108,0,1.0,mapped_high
read456,195,1,1,108,108,108,108,108,0,1.0,mapped_high
read457,196,1,1,108,108,108,108,108,0,1.0,mapped_high
read458,197,1,1,108,108,108,108,108,0,1.0,mapped_high
read459,198,1,1,108,108,108,108,108,0,1.0,mapped_high
read460,199,1,1,108,108,108,108,108,0,1.0,mapped_high
read461,200,1,1,108,108,108,108,108,0,1.0,mapped_high
read462,201,1,1,108,108,108,108,108,0,1.0,mapped_high
read463,202,1,1,108,108,108,108,108,0,1.0,mapped_high
read464,203,1,1,108,108,108,108,108,0,1.0,mapped_high
read465,204,1,1,108,108,108,108,108,0,1.0,mapped_high
read466,205,1,1,108,108,108,108,108,0,1.0,mapped_high
read467,206,1,1,108,108,108,108,108,0,1.0,mapped_high
